Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-03T16:32:19.3400877+01:00,/,,5e947914-4de1-c171-d581-d8af4b0b9fba,
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-03T16:32:22.2837041+01:00,/Home/Privacy,http://localhost:5081/,73515d4f-ebb0-0804-0a84-b6913efbb0e7,
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-03T16:32:22.7031948+01:00,/,http://localhost:5081/Home/Privacy,d49f47f0-7bcf-1673-c382-c5fee41cd851,
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,2026-02-03T16:32:23.0699574+01:00,/Home/Privacy,http://localhost:5081/,7906a491-c339-0640-e171-bfacf464b319,
